"","ID","Cluster","V1","V2"
"H4_WM_1_3_73","H4_WM_1_3_73",2,4.43767781983511,-21.6806818751513
"H4_WM_1_3_81","H4_WM_1_3_81",1,-3.39600894973393,-20.3007754481331
"H4_WM_1_3_82","H4_WM_1_3_82",2,-2.42293145483652,-19.8246896550067
"H4_WM_1_3_89","H4_WM_1_3_89",2,0.498634379853085,-21.78340745196
"H4_WM_1_3_97","H4_WM_1_3_97",2,1.27502287014922,-13.3409115665822
"H4_WM_1_3_98","H4_WM_1_3_98",2,-9.50249680465578,-18.4700346500266
"H4_WM_1_3_105","H4_WM_1_3_105",1,-3.80184768761765,-25.2858029248449
"H4_WM_1_3_113","H4_WM_1_3_113",2,1.57151977171222,-22.1193562762249
"H4_WM_1_3_121","H4_WM_1_3_121",1,-3.78267304017832,-24.3662237895183
"H4_WM_1_3_122","H4_WM_1_3_122",2,6.27839307730518,-15.6305257050818
"H4_WM_1_3_129","H4_WM_1_3_129",2,0.802075795845847,-20.6415448567399
"H4_WM_1_3_131","H4_WM_1_3_131",2,4.32336165724874,-16.1424415247435
"H4_WM_1_3_133","H4_WM_1_3_133",4,-4.10169904148359,-12.5562521753745
"H4_WM_1_3_147","H4_WM_1_3_147",4,2.29757940304557,-6.93842411049199
"H4_WM_1_3_148","H4_WM_1_3_148",1,-3.54571208363966,-23.8075747652001
"H4_WM_1_3_149","H4_WM_1_3_149",2,4.68149700582512,-15.8497674710343
"H4_WM_1_3_153","H4_WM_1_3_153",4,0.0315486368249829,-9.28027185396064
"H4_WM_1_3_161","H4_WM_1_3_161",4,-5.95201155232799,-13.1571738545141
"H4_WM_1_3_162","H4_WM_1_3_162",1,-10.0761052443825,-18.5351262527698
"H4_WM_1_3_163","H4_WM_1_3_163",5,14.2523372557932,-9.12327117824163
"H4_WM_1_3_164","H4_WM_1_3_164",5,6.22504747162145,-13.1024663282697
"H4_WM_1_3_165","H4_WM_1_3_165",5,13.9664099049945,-8.68476961005336
"H4_WM_1_3_166","H4_WM_1_3_166",4,1.73910500683391,-15.3036911442084
"H4_WM_1_3_169","H4_WM_1_3_169",1,-3.53782552025708,-25.0742830320164
"H4_WM_1_3_170","H4_WM_1_3_170",1,-3.60213039105909,-24.8210596253898
"H4_WM_1_3_179","H4_WM_1_3_179",4,1.22729632831778,-14.5412098828933
"H4_WM_1_3_183","H4_WM_1_3_183",4,1.84534861670007,-14.4759792675505
"H4_WM_1_3_188","H4_WM_1_3_188",2,4.48720463469504,-16.548539173845
"H4_WM_1_3_189","H4_WM_1_3_189",1,-4.36631635820485,-23.1201216432218
"H4_WM_2_4_1","H4_WM_2_4_1",5,13.2955160008511,-9.64951091437759
"H4_WM_2_4_3","H4_WM_2_4_3",5,15.4374005992145,-11.6677202081207
"H4_WM_2_4_6","H4_WM_2_4_6",2,-1.2723037484354,-15.332111918627
"H4_WM_2_4_8","H4_WM_2_4_8",2,1.88127727889949,-14.0404412459237
"H4_WM_2_4_9","H4_WM_2_4_9",10,-21.785005395691,-1.65510552675256
"H4_WM_2_4_11","H4_WM_2_4_11",2,4.70496339966161,-19.5692607872934
"H4_WM_2_4_22","H4_WM_2_4_22",2,-3.54433170118941,-16.9012056336145
"H4_WM_2_4_23","H4_WM_2_4_23",1,-1.13142860396306,-22.9001510964871
"H4_WM_2_4_24","H4_WM_2_4_24",1,-2.94876385714774,-25.5680694295299
"H4_WM_2_4_26","H4_WM_2_4_26",1,-3.40467182515407,-23.5675003163354
"H4_WM_2_4_28","H4_WM_2_4_28",2,2.29288865362312,-19.257689984722
"H4_WM_2_4_34","H4_WM_2_4_34",2,3.41590613963209,-19.6334018439862
"H4_WM_2_4_35","H4_WM_2_4_35",5,13.7058838523756,-12.613791392539
"H4_WM_2_4_36","H4_WM_2_4_36",1,-2.78147391395389,-20.7279486312095
"H4_WM_2_4_38","H4_WM_2_4_38",1,-3.37532718602631,-24.8089963142955
"H4_WM_2_4_39","H4_WM_2_4_39",1,-3.7177623138924,-23.274782159659
"H4_WM_2_4_43","H4_WM_2_4_43",2,1.28320216274665,-22.7030037772523
"H4_WM_2_4_50","H4_WM_2_4_50",2,1.86485701909036,-19.6484273354375
"H4_WM_2_4_52","H4_WM_2_4_52",2,4.42284266602073,-21.4590982297054
"H4_WM_2_4_55","H4_WM_2_4_55",1,-0.216596430894589,-24.1964118047058
"H4_WM_2_4_61","H4_WM_2_4_61",2,3.30561672321463,-16.1387087657633
"H4_WM_2_4_62","H4_WM_2_4_62",4,3.44710301265478,-10.6741506695808
"H4_WM_2_4_66","H4_WM_2_4_66",5,14.4690763619874,-7.86285670823853
"H4_WM_2_4_67","H4_WM_2_4_67",1,-3.85660169723774,-24.1116149667356
"H4_WM_2_4_68","H4_WM_2_4_68",2,3.43370260028736,-19.8970890992831
"H4_WM_2_4_69","H4_WM_2_4_69",2,4.08076533841014,-18.3026082311195
"H4_WM_2_4_71","H4_WM_2_4_71",2,4.32438027685888,-17.2717214891325
"H4_WM_2_4_72","H4_WM_2_4_72",1,-2.58099093647593,-20.4350265742667
"H4_WM_2_4_73","H4_WM_2_4_73",1,-0.506018171772995,-22.586360701857
"H4_WM_2_4_75","H4_WM_2_4_75",2,5.14066286726406,-16.7020368059406
"H4_WM_2_4_79","H4_WM_2_4_79",1,0.126346056748862,-22.8231948597718
"H4_WM_2_4_82","H4_WM_2_4_82",2,0.980437180278703,-23.3097655104964
"H4_WM_2_4_83","H4_WM_2_4_83",15,-20.1129723137408,4.80201101326482
"H4_WM_2_4_84","H4_WM_2_4_84",5,12.5010719360629,-5.3234890959642
"H4_WM_2_4_86","H4_WM_2_4_86",1,-2.90128083232314,-24.1176568397826
"H4_WM_2_4_87","H4_WM_2_4_87",5,-7.55091896755629,-14.9979192018401
"H4_WM_2_4_90","H4_WM_2_4_90",9,-19.5631306826454,5.47017085367813
"H4_WM_2_4_93","H4_WM_2_4_93",2,2.06657173154255,-16.2896329035133
"H4_WM_2_4_96","H4_WM_2_4_96",2,3.75867071674645,-17.2610381252537
"H4_WM_2_4_98","H4_WM_2_4_98",2,2.42401881775247,-16.2857764004479
"H4_WM_2_4_99","H4_WM_2_4_99",1,-4.06105945256225,-25.2537163718915
"H4_WM_2_4_100","H4_WM_2_4_100",4,2.28115997053616,-9.68319416107605
"H4_WM_2_4_101","H4_WM_2_4_101",2,-3.60868356230506,-16.1676160605553
"H4_WM_2_4_104","H4_WM_2_4_104",2,4.73336632407159,-16.780544453387
"H4_WM_2_4_105","H4_WM_2_4_105",2,1.66400696551343,-19.8787111995517
"H4_WM_2_4_107","H4_WM_2_4_107",8,-22.4964671303066,-0.0536156456150248
"H4_WM_2_4_108","H4_WM_2_4_108",5,11.7700674327924,-10.9750354557772
"H4_WM_2_4_109","H4_WM_2_4_109",1,-3.85581587835117,-19.514388219222
"H4_WM_2_4_112","H4_WM_2_4_112",2,1.52788401510877,-20.1949452803205
"H4_WM_2_4_114","H4_WM_2_4_114",5,4.30986405614661,-9.83415681221357
"H4_WM_2_4_118","H4_WM_2_4_118",5,14.1113339650088,-11.7355485576373
"H4_WM_2_4_119","H4_WM_2_4_119",1,-1.05832651061997,-23.47974163394
"H4_WM_2_4_121","H4_WM_2_4_121",5,15.2589906151441,-11.4468898481817
"H4_WM_2_4_123","H4_WM_2_4_123",5,13.4838302080312,-9.26855189665149
"H4_WM_2_4_130","H4_WM_2_4_130",1,-2.17001010159667,-25.3010913726855
"H4_WM_2_4_131","H4_WM_2_4_131",5,1.8046818201766,-8.21740366999943
"H4_WM_2_4_132","H4_WM_2_4_132",1,-0.905239769900868,-22.7241615740871
"H4_WM_2_4_133","H4_WM_2_4_133",2,5.21176872458318,-16.0402714835373
"H4_WM_2_4_136","H4_WM_2_4_136",4,-3.34859824031432,-15.776353173838
"H4_WM_2_4_137","H4_WM_2_4_137",2,3.71589384547967,-18.7596094145205
"H4_WM_2_4_138","H4_WM_2_4_138",4,-0.460065836150823,-12.0645788447676
"H4_WM_2_4_141","H4_WM_2_4_141",1,-4.594916272227,-20.6692715119374
"H4_WM_2_4_144","H4_WM_2_4_144",2,4.0485514535997,-18.9794345421797
