"","ID","Cluster","V1","V2"
"H4_WM_1_3_169","H4_WM_1_3_169",1,25.2439981637811,-10.6493270828002
"H4_WM_1_3_170","H4_WM_1_3_170",1,25.1216654332403,-10.1655177241575
"H4_WM_1_3_179","H4_WM_1_3_179",3,15.872261648839,0.844879566613583
"H4_WM_1_3_183","H4_WM_1_3_183",3,14.223818801868,-4.36728643564272
"H4_WM_1_3_188","H4_WM_1_3_188",1,16.1793285650931,8.00228346501183
"H4_WM_1_3_189","H4_WM_1_3_189",1,24.9514327505687,-8.46221105903407
"H4_WM_2_4_1","H4_WM_2_4_1",5,10.4827330181893,11.7606099761967
"H4_WM_2_4_3","H4_WM_2_4_3",5,14.4831295550927,10.1739377755795
"H4_WM_2_4_6","H4_WM_2_4_6",1,20.2220317475115,-7.53670968125164
"H4_WM_2_4_8","H4_WM_2_4_8",3,21.0783602797747,4.07154366220498
"H4_WM_2_4_9","H4_WM_2_4_9",13,0.857750711735172,-19.6364521574212
"H4_WM_2_4_11","H4_WM_2_4_11",1,14.6120183946354,-8.62047483966581
"H4_WM_2_4_22","H4_WM_2_4_22",1,20.1708300733983,-7.54084149571703
"H4_WM_2_4_23","H4_WM_2_4_23",1,24.0743500263212,-7.89038778601556
"H4_WM_2_4_24","H4_WM_2_4_24",1,24.5097966217465,-11.282314109525
"H4_WM_2_4_26","H4_WM_2_4_26",1,24.8893334390023,-10.6512660758513
"H4_WM_2_4_28","H4_WM_2_4_28",1,20.3658017118057,0.622994681232228
"H4_WM_2_4_34","H4_WM_2_4_34",1,23.1911983662,-6.5769027800466
"H4_WM_2_4_35","H4_WM_2_4_35",5,13.9720989835261,10.244737945682
"H4_WM_2_4_36","H4_WM_2_4_36",1,21.4267840404994,-11.2144423627333
"H4_WM_2_4_38","H4_WM_2_4_38",1,25.1163791054745,-10.5151069983397
"H4_WM_2_4_39","H4_WM_2_4_39",1,23.8855900174565,-10.5816684738389
"H4_WM_2_4_43","H4_WM_2_4_43",1,22.3205515886073,-5.21157952386917
"H4_WM_2_4_50","H4_WM_2_4_50",1,20.5384429548646,0.217193864941066
"H4_WM_2_4_52","H4_WM_2_4_52",1,20.1783028898147,-6.10353267773515
"H4_WM_2_4_55","H4_WM_2_4_55",1,22.055216849616,-7.53366667144212
"H4_WM_2_4_61","H4_WM_2_4_61",3,16.3162816802359,7.78763600278644
"H4_WM_2_4_62","H4_WM_2_4_62",3,13.015431174416,5.82430355334223
"H4_WM_2_4_66","H4_WM_2_4_66",6,0.837109895324405,17.5457565665091
"H4_WM_2_4_67","H4_WM_2_4_67",1,24.0484300141392,-10.309410846724
"H4_WM_2_4_68","H4_WM_2_4_68",1,19.5017560756203,-3.48045144410566
"H4_WM_2_4_69","H4_WM_2_4_69",1,20.8726685103113,0.225211953401239
"H4_WM_2_4_71","H4_WM_2_4_71",1,20.6906493143511,0.0679834697748907
"H4_WM_2_4_72","H4_WM_2_4_72",13,21.7956767741682,-13.0957565568285
"H4_WM_2_4_73","H4_WM_2_4_73",1,23.9846603331698,-7.51295504630806
"H4_WM_2_4_75","H4_WM_2_4_75",5,16.7317777691554,6.93711829860574
